Type,SKU,Name,Published,Is featured?,Catalog visibility,In stock?,Regular price,Sold individually,Weight (kg),Categories,Images,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global
simple,aleksandrovic-harizma-aleksandrovic,Aleksandrović Harizma,1,0,visible,1,1770,0,1.3,Crveno vino,https://15milja.com/images/wines/aleksandrovi%C4%87-harizma.png,Vinarija,Aleksandrović,1,1,Region,Šumadija,1,1,Zemlja,Srbija,1,1,Zapremina,0.75 L,1,1
simple,aleksandrovic-prokupac-aleksandrovic,Aleksandrović Prokupac,1,0,visible,1,1770,0,1.3,Crveno vino,https://15milja.com/images/wines/aleksandrovi%C4%87-prokupac.png,Vinarija,Aleksandrović,1,1,Region,Šumadija,1,1,Zemlja,Srbija,1,1,Zapremina,0.75 L,1,1
simple,aleksandrovic-regent-aleksandrovic,Aleksandrović Regent,1,0,visible,1,2340,0,1.3,Crveno vino,https://15milja.com/images/wines/aleksandrovi%C4%87-regent-reserve.png,Vinarija,Aleksandrović,1,1,Region,Šumadija,1,1,Zemlja,Srbija,1,1,Zapremina,0.75 L,1,1
simple,aleksandrovic-rodoslov-aleksandrovic,Aleksandrović Rodoslov,1,0,visible,1,4980,0,1.3,Crveno vino,https://15milja.com/images/wines/aleksandrovi%C4%87-rodoslov-magnum-3l.png,Vinarija,Aleksandrović,1,1,Region,Šumadija,1,1,Zemlja,Srbija,1,1,Zapremina,0.75 L,1,1
simple,aleksandrovic-varijanta-aleksandrovic,Aleksandrović Varijanta,1,0,visible,1,1390,0,1.3,Crveno vino,https://15milja.com/images/wines/aleksandrovi%C4%87-varijanta.png,Vinarija,Aleksandrović,1,1,Region,Šumadija,1,1,Zemlja,Srbija,1,1,Zapremina,0.75 L,1,1
simple,aleksandrovic-vizija-aleksandrovic,Aleksandrović Vizija,1,0,visible,1,1700,0,1.3,Crveno vino,https://15milja.com/images/wines/aleksandrovic-vizija.png,Vinarija,Aleksandrović,1,1,Region,Šumadija,1,1,Zemlja,Srbija,1,1,Zapremina,0.75 L,1,1
simple,aleksandrovic-trijumf-aleksandrovic,Aleksandrović Trijumf,1,0,visible,1,1920,0,1.3,Crveno vino,https://15milja.com/images/wines/aleksandrovi%C4%87-trijumf.png,Vinarija,Aleksandrović,1,1,Region,Šumadija,1,1,Zemlja,Srbija,1,1,Zapremina,0.75 L,1,1
simple,aleksandrovic-trijumf-gold-aleksandrovic,Aleksandrović Trijumf Gold,1,0,visible,1,2200,0,1.3,Crveno vino,https://15milja.com/images/wines/aleksandrovi%C4%87-trijumf-gold.png,Vinarija,Aleksandrović,1,1,Region,Šumadija,1,1,Zemlja,Srbija,1,1,Zapremina,0.75 L,1,1
simple,aleksandrovic-trijumf-noir-aleksandrovic,Aleksandrović Trijumf Noir,1,0,visible,1,2200,0,1.3,Crveno vino,https://15milja.com/images/wines/aleksandrovi%C4%87-trijumf-noir-penu%C5%A1avac.png,Vinarija,Aleksandrović,1,1,Region,Šumadija,1,1,Zemlja,Srbija,1,1,Zapremina,0.75 L,1,1
simple,aleksandrovic-trijumf-teroir-aleksandrovic,Aleksandrović Trijumf Teroir,1,0,visible,1,2350,0,1.3,Crveno vino,https://15milja.com/images/wines/aleksandrovi%C4%87-trijumf-terroir.png,Vinarija,Aleksandrović,1,1,Region,Šumadija,1,1,Zemlja,Srbija,1,1,Zapremina,0.75 L,1,1
